Subject,Run,New_Epoch,Source_File,Original_Epoch
class_01,Run_1,epoch_0,all_subject_eeg_features_S3_hierarchical.h5,epoch_0
class_01,Run_1,epoch_1,all_subject_eeg_features_S3_hierarchical.h5,epoch_1
class_01,Run_1,epoch_2,all_subject_eeg_features_S3_hierarchical.h5,epoch_10
class_01,Run_1,epoch_3,all_subject_eeg_features_S3_hierarchical.h5,epoch_11
class_01,Run_1,epoch_4,all_subject_eeg_features_S3_hierarchical.h5,epoch_12
class_01,Run_1,epoch_5,all_subject_eeg_features_S3_hierarchical.h5,epoch_13
class_01,Run_1,epoch_6,all_subject_eeg_features_S3_hierarchical.h5,epoch_14
class_01,Run_1,epoch_7,all_subject_eeg_features_S3_hierarchical.h5,epoch_15
class_01,Run_1,epoch_8,all_subject_eeg_features_S3_hierarchical.h5,epoch_16
class_01,Run_1,epoch_9,all_subject_eeg_features_S3_hierarchical.h5,epoch_17
class_01,Run_1,epoch_10,all_subject_eeg_features_S3_hierarchical.h5,epoch_18
class_01,Run_1,epoch_11,all_subject_eeg_features_S3_hierarchical.h5,epoch_19
class_01,Run_1,epoch_12,all_subject_eeg_features_S3_hierarchical.h5,epoch_2
class_01,Run_1,epoch_13,all_subject_eeg_features_S3_hierarchical.h5,epoch_20
class_01,Run_1,epoch_14,all_subject_eeg_features_S3_hierarchical.h5,epoch_21
class_01,Run_1,epoch_15,all_subject_eeg_features_S3_hierarchical.h5,epoch_22
class_01,Run_1,epoch_16,all_subject_eeg_features_S3_hierarchical.h5,epoch_23
class_01,Run_1,epoch_17,all_subject_eeg_features_S3_hierarchical.h5,epoch_24
class_01,Run_1,epoch_18,all_subject_eeg_features_S3_hierarchical.h5,epoch_25
class_01,Run_1,epoch_19,all_subject_eeg_features_S3_hierarchical.h5,epoch_26
class_01,Run_1,epoch_20,all_subject_eeg_features_S3_hierarchical.h5,epoch_27
class_01,Run_1,epoch_21,all_subject_eeg_features_S3_hierarchical.h5,epoch_28
class_01,Run_1,epoch_22,all_subject_eeg_features_S3_hierarchical.h5,epoch_29
class_01,Run_1,epoch_23,all_subject_eeg_features_S3_hierarchical.h5,epoch_3
class_01,Run_1,epoch_24,all_subject_eeg_features_S3_hierarchical.h5,epoch_30
class_01,Run_1,epoch_25,all_subject_eeg_features_S3_hierarchical.h5,epoch_31
class_01,Run_1,epoch_26,all_subject_eeg_features_S3_hierarchical.h5,epoch_32
class_01,Run_1,epoch_27,all_subject_eeg_features_S3_hierarchical.h5,epoch_33
class_01,Run_1,epoch_28,all_subject_eeg_features_S3_hierarchical.h5,epoch_34
class_01,Run_1,epoch_29,all_subject_eeg_features_S3_hierarchical.h5,epoch_35
class_01,Run_1,epoch_30,all_subject_eeg_features_S3_hierarchical.h5,epoch_36
class_01,Run_1,epoch_31,all_subject_eeg_features_S3_hierarchical.h5,epoch_37
class_01,Run_1,epoch_32,all_subject_eeg_features_S3_hierarchical.h5,epoch_38
class_01,Run_1,epoch_33,all_subject_eeg_features_S3_hierarchical.h5,epoch_39
class_01,Run_1,epoch_34,all_subject_eeg_features_S3_hierarchical.h5,epoch_4
class_01,Run_1,epoch_35,all_subject_eeg_features_S3_hierarchical.h5,epoch_5
class_01,Run_1,epoch_36,all_subject_eeg_features_S3_hierarchical.h5,epoch_6
class_01,Run_1,epoch_37,all_subject_eeg_features_S3_hierarchical.h5,epoch_7
class_01,Run_1,epoch_38,all_subject_eeg_features_S3_hierarchical.h5,epoch_8
class_01,Run_1,epoch_39,all_subject_eeg_features_S3_hierarchical.h5,epoch_9
class_01,Run_2,epoch_0,all_subject_eeg_features_S3_hierarchical.h5,epoch_0
class_01,Run_2,epoch_1,all_subject_eeg_features_S3_hierarchical.h5,epoch_1
class_01,Run_2,epoch_2,all_subject_eeg_features_S3_hierarchical.h5,epoch_10
class_01,Run_2,epoch_3,all_subject_eeg_features_S3_hierarchical.h5,epoch_11
class_01,Run_2,epoch_4,all_subject_eeg_features_S3_hierarchical.h5,epoch_12
class_01,Run_2,epoch_5,all_subject_eeg_features_S3_hierarchical.h5,epoch_13
class_01,Run_2,epoch_6,all_subject_eeg_features_S3_hierarchical.h5,epoch_14
class_01,Run_2,epoch_7,all_subject_eeg_features_S3_hierarchical.h5,epoch_15
class_01,Run_2,epoch_8,all_subject_eeg_features_S3_hierarchical.h5,epoch_16
class_01,Run_2,epoch_9,all_subject_eeg_features_S3_hierarchical.h5,epoch_17
class_01,Run_2,epoch_10,all_subject_eeg_features_S3_hierarchical.h5,epoch_18
class_01,Run_2,epoch_11,all_subject_eeg_features_S3_hierarchical.h5,epoch_19
class_01,Run_2,epoch_12,all_subject_eeg_features_S3_hierarchical.h5,epoch_2
class_01,Run_2,epoch_13,all_subject_eeg_features_S3_hierarchical.h5,epoch_20
class_01,Run_2,epoch_14,all_subject_eeg_features_S3_hierarchical.h5,epoch_21
class_01,Run_2,epoch_15,all_subject_eeg_features_S3_hierarchical.h5,epoch_22
class_01,Run_2,epoch_16,all_subject_eeg_features_S3_hierarchical.h5,epoch_23
class_01,Run_2,epoch_17,all_subject_eeg_features_S3_hierarchical.h5,epoch_24
class_01,Run_2,epoch_18,all_subject_eeg_features_S3_hierarchical.h5,epoch_25
class_01,Run_2,epoch_19,all_subject_eeg_features_S3_hierarchical.h5,epoch_26
class_01,Run_2,epoch_20,all_subject_eeg_features_S3_hierarchical.h5,epoch_27
class_01,Run_2,epoch_21,all_subject_eeg_features_S3_hierarchical.h5,epoch_28
class_01,Run_2,epoch_22,all_subject_eeg_features_S3_hierarchical.h5,epoch_29
class_01,Run_2,epoch_23,all_subject_eeg_features_S3_hierarchical.h5,epoch_3
class_01,Run_2,epoch_24,all_subject_eeg_features_S3_hierarchical.h5,epoch_30
class_01,Run_2,epoch_25,all_subject_eeg_features_S3_hierarchical.h5,epoch_31
class_01,Run_2,epoch_26,all_subject_eeg_features_S3_hierarchical.h5,epoch_32
class_01,Run_2,epoch_27,all_subject_eeg_features_S3_hierarchical.h5,epoch_33
class_01,Run_2,epoch_28,all_subject_eeg_features_S3_hierarchical.h5,epoch_34
class_01,Run_2,epoch_29,all_subject_eeg_features_S3_hierarchical.h5,epoch_35
class_01,Run_2,epoch_30,all_subject_eeg_features_S3_hierarchical.h5,epoch_36
class_01,Run_2,epoch_31,all_subject_eeg_features_S3_hierarchical.h5,epoch_37
class_01,Run_2,epoch_32,all_subject_eeg_features_S3_hierarchical.h5,epoch_38
class_01,Run_2,epoch_33,all_subject_eeg_features_S3_hierarchical.h5,epoch_39
class_01,Run_2,epoch_34,all_subject_eeg_features_S3_hierarchical.h5,epoch_4
class_01,Run_2,epoch_35,all_subject_eeg_features_S3_hierarchical.h5,epoch_5
class_01,Run_2,epoch_36,all_subject_eeg_features_S3_hierarchical.h5,epoch_6
class_01,Run_2,epoch_37,all_subject_eeg_features_S3_hierarchical.h5,epoch_7
class_01,Run_2,epoch_38,all_subject_eeg_features_S3_hierarchical.h5,epoch_8
class_01,Run_2,epoch_39,all_subject_eeg_features_S3_hierarchical.h5,epoch_9
class_02,Run_1,epoch_0,all_subject_eeg_features_S3_hierarchical.h5,epoch_0
class_02,Run_1,epoch_1,all_subject_eeg_features_S3_hierarchical.h5,epoch_1
class_02,Run_1,epoch_2,all_subject_eeg_features_S3_hierarchical.h5,epoch_10
class_02,Run_1,epoch_3,all_subject_eeg_features_S3_hierarchical.h5,epoch_11
class_02,Run_1,epoch_4,all_subject_eeg_features_S3_hierarchical.h5,epoch_12
class_02,Run_1,epoch_5,all_subject_eeg_features_S3_hierarchical.h5,epoch_13
class_02,Run_1,epoch_6,all_subject_eeg_features_S3_hierarchical.h5,epoch_14
class_02,Run_1,epoch_7,all_subject_eeg_features_S3_hierarchical.h5,epoch_15
class_02,Run_1,epoch_8,all_subject_eeg_features_S3_hierarchical.h5,epoch_16
class_02,Run_1,epoch_9,all_subject_eeg_features_S3_hierarchical.h5,epoch_17
class_02,Run_1,epoch_10,all_subject_eeg_features_S3_hierarchical.h5,epoch_18
class_02,Run_1,epoch_11,all_subject_eeg_features_S3_hierarchical.h5,epoch_19
class_02,Run_1,epoch_12,all_subject_eeg_features_S3_hierarchical.h5,epoch_2
class_02,Run_1,epoch_13,all_subject_eeg_features_S3_hierarchical.h5,epoch_20
class_02,Run_1,epoch_14,all_subject_eeg_features_S3_hierarchical.h5,epoch_21
class_02,Run_1,epoch_15,all_subject_eeg_features_S3_hierarchical.h5,epoch_22
class_02,Run_1,epoch_16,all_subject_eeg_features_S3_hierarchical.h5,epoch_23
class_02,Run_1,epoch_17,all_subject_eeg_features_S3_hierarchical.h5,epoch_24
class_02,Run_1,epoch_18,all_subject_eeg_features_S3_hierarchical.h5,epoch_25
class_02,Run_1,epoch_19,all_subject_eeg_features_S3_hierarchical.h5,epoch_26
class_02,Run_1,epoch_20,all_subject_eeg_features_S3_hierarchical.h5,epoch_27
class_02,Run_1,epoch_21,all_subject_eeg_features_S3_hierarchical.h5,epoch_28
class_02,Run_1,epoch_22,all_subject_eeg_features_S3_hierarchical.h5,epoch_29
class_02,Run_1,epoch_23,all_subject_eeg_features_S3_hierarchical.h5,epoch_3
class_02,Run_1,epoch_24,all_subject_eeg_features_S3_hierarchical.h5,epoch_30
class_02,Run_1,epoch_25,all_subject_eeg_features_S3_hierarchical.h5,epoch_31
class_02,Run_1,epoch_26,all_subject_eeg_features_S3_hierarchical.h5,epoch_32
class_02,Run_1,epoch_27,all_subject_eeg_features_S3_hierarchical.h5,epoch_33
class_02,Run_1,epoch_28,all_subject_eeg_features_S3_hierarchical.h5,epoch_34
class_02,Run_1,epoch_29,all_subject_eeg_features_S3_hierarchical.h5,epoch_35
class_02,Run_1,epoch_30,all_subject_eeg_features_S3_hierarchical.h5,epoch_36
class_02,Run_1,epoch_31,all_subject_eeg_features_S3_hierarchical.h5,epoch_37
class_02,Run_1,epoch_32,all_subject_eeg_features_S3_hierarchical.h5,epoch_38
class_02,Run_1,epoch_33,all_subject_eeg_features_S3_hierarchical.h5,epoch_39
class_02,Run_1,epoch_34,all_subject_eeg_features_S3_hierarchical.h5,epoch_4
class_02,Run_1,epoch_35,all_subject_eeg_features_S3_hierarchical.h5,epoch_5
class_02,Run_1,epoch_36,all_subject_eeg_features_S3_hierarchical.h5,epoch_6
class_02,Run_1,epoch_37,all_subject_eeg_features_S3_hierarchical.h5,epoch_7
class_02,Run_1,epoch_38,all_subject_eeg_features_S3_hierarchical.h5,epoch_8
class_02,Run_1,epoch_39,all_subject_eeg_features_S3_hierarchical.h5,epoch_9
class_02,Run_2,epoch_0,all_subject_eeg_features_S3_hierarchical.h5,epoch_0
class_02,Run_2,epoch_1,all_subject_eeg_features_S3_hierarchical.h5,epoch_1
class_02,Run_2,epoch_2,all_subject_eeg_features_S3_hierarchical.h5,epoch_10
class_02,Run_2,epoch_3,all_subject_eeg_features_S3_hierarchical.h5,epoch_11
class_02,Run_2,epoch_4,all_subject_eeg_features_S3_hierarchical.h5,epoch_12
class_02,Run_2,epoch_5,all_subject_eeg_features_S3_hierarchical.h5,epoch_13
class_02,Run_2,epoch_6,all_subject_eeg_features_S3_hierarchical.h5,epoch_14
class_02,Run_2,epoch_7,all_subject_eeg_features_S3_hierarchical.h5,epoch_15
class_02,Run_2,epoch_8,all_subject_eeg_features_S3_hierarchical.h5,epoch_16
class_02,Run_2,epoch_9,all_subject_eeg_features_S3_hierarchical.h5,epoch_17
class_02,Run_2,epoch_10,all_subject_eeg_features_S3_hierarchical.h5,epoch_18
class_02,Run_2,epoch_11,all_subject_eeg_features_S3_hierarchical.h5,epoch_19
class_02,Run_2,epoch_12,all_subject_eeg_features_S3_hierarchical.h5,epoch_2
class_02,Run_2,epoch_13,all_subject_eeg_features_S3_hierarchical.h5,epoch_20
class_02,Run_2,epoch_14,all_subject_eeg_features_S3_hierarchical.h5,epoch_21
class_02,Run_2,epoch_15,all_subject_eeg_features_S3_hierarchical.h5,epoch_22
class_02,Run_2,epoch_16,all_subject_eeg_features_S3_hierarchical.h5,epoch_23
class_02,Run_2,epoch_17,all_subject_eeg_features_S3_hierarchical.h5,epoch_24
class_02,Run_2,epoch_18,all_subject_eeg_features_S3_hierarchical.h5,epoch_25
class_02,Run_2,epoch_19,all_subject_eeg_features_S3_hierarchical.h5,epoch_26
class_02,Run_2,epoch_20,all_subject_eeg_features_S3_hierarchical.h5,epoch_27
class_02,Run_2,epoch_21,all_subject_eeg_features_S3_hierarchical.h5,epoch_28
class_02,Run_2,epoch_22,all_subject_eeg_features_S3_hierarchical.h5,epoch_29
class_02,Run_2,epoch_23,all_subject_eeg_features_S3_hierarchical.h5,epoch_3
class_02,Run_2,epoch_24,all_subject_eeg_features_S3_hierarchical.h5,epoch_30
class_02,Run_2,epoch_25,all_subject_eeg_features_S3_hierarchical.h5,epoch_31
class_02,Run_2,epoch_26,all_subject_eeg_features_S3_hierarchical.h5,epoch_32
class_02,Run_2,epoch_27,all_subject_eeg_features_S3_hierarchical.h5,epoch_33
class_02,Run_2,epoch_28,all_subject_eeg_features_S3_hierarchical.h5,epoch_34
class_02,Run_2,epoch_29,all_subject_eeg_features_S3_hierarchical.h5,epoch_35
class_02,Run_2,epoch_30,all_subject_eeg_features_S3_hierarchical.h5,epoch_36
class_02,Run_2,epoch_31,all_subject_eeg_features_S3_hierarchical.h5,epoch_37
class_02,Run_2,epoch_32,all_subject_eeg_features_S3_hierarchical.h5,epoch_38
class_02,Run_2,epoch_33,all_subject_eeg_features_S3_hierarchical.h5,epoch_39
class_02,Run_2,epoch_34,all_subject_eeg_features_S3_hierarchical.h5,epoch_4
class_02,Run_2,epoch_35,all_subject_eeg_features_S3_hierarchical.h5,epoch_5
class_02,Run_2,epoch_36,all_subject_eeg_features_S3_hierarchical.h5,epoch_6
class_02,Run_2,epoch_37,all_subject_eeg_features_S3_hierarchical.h5,epoch_7
class_02,Run_2,epoch_38,all_subject_eeg_features_S3_hierarchical.h5,epoch_8
class_02,Run_2,epoch_39,all_subject_eeg_features_S3_hierarchical.h5,epoch_9
class_03,Run_1,epoch_0,all_subject_eeg_features_S3_hierarchical.h5,epoch_0
class_03,Run_1,epoch_1,all_subject_eeg_features_S3_hierarchical.h5,epoch_1
class_03,Run_1,epoch_2,all_subject_eeg_features_S3_hierarchical.h5,epoch_10
class_03,Run_1,epoch_3,all_subject_eeg_features_S3_hierarchical.h5,epoch_11
class_03,Run_1,epoch_4,all_subject_eeg_features_S3_hierarchical.h5,epoch_12
class_03,Run_1,epoch_5,all_subject_eeg_features_S3_hierarchical.h5,epoch_13
class_03,Run_1,epoch_6,all_subject_eeg_features_S3_hierarchical.h5,epoch_14
class_03,Run_1,epoch_7,all_subject_eeg_features_S3_hierarchical.h5,epoch_15
class_03,Run_1,epoch_8,all_subject_eeg_features_S3_hierarchical.h5,epoch_16
class_03,Run_1,epoch_9,all_subject_eeg_features_S3_hierarchical.h5,epoch_17
class_03,Run_1,epoch_10,all_subject_eeg_features_S3_hierarchical.h5,epoch_18
class_03,Run_1,epoch_11,all_subject_eeg_features_S3_hierarchical.h5,epoch_19
class_03,Run_1,epoch_12,all_subject_eeg_features_S3_hierarchical.h5,epoch_2
class_03,Run_1,epoch_13,all_subject_eeg_features_S3_hierarchical.h5,epoch_20
class_03,Run_1,epoch_14,all_subject_eeg_features_S3_hierarchical.h5,epoch_21
class_03,Run_1,epoch_15,all_subject_eeg_features_S3_hierarchical.h5,epoch_22
